Name,Mean (ps),2*Stdev (ps)
All.append.single-event.NoStream (new stream),184512597,17037788
All.append.single-event.AnyVersion (new stream),192369873,13464448
All.append.batch-10.NoStream,361229882,23809756
All.append.batch-100.NoStream,1676403906,55944062
All.append.sequential.10 appends to same stream,1730100781,107844858
All.raw-append-shape.AnyVersion.scalar singleton (new stream),155022949,14088974
All.raw-append-shape.AnyVersion.production arrays/unnest (new stream),174664208,16520262
All.raw-append-shape.AnyVersion.two-roundtrip (new stream),189188720,18354754
All.raw-append-shape.AnyVersion.two-roundtrip + BEGIN/COMMIT (new stream),219741992,21157918
All.raw-append-shape.AnyVersion.scalar singleton (hot stream),158950537,8493564
All.raw-append-shape.AnyVersion.production arrays/unnest (hot stream),167234472,14430498
All.raw-append-shape.AnyVersion.two-roundtrip (hot stream),186551464,10712380
All.raw-append-shape.AnyVersion.two-roundtrip + BEGIN/COMMIT (hot stream),217226562,7320720
All.read.stream forward (100-event page),1162203906,105193022
All.read.$all forward (100-event page),1067247656,55478942
All.category.category forward (100-event page),1114750390,71000398
All.category.exhausted-category,30102893,1634850
"All.category.$all forward (100-event page, baseline)",1082442578,60768640
All.concurrent.8 writers x 10 appends,15674956250,1082927720
All.concurrent.32 writers x 10 appends,726238812500,275624726618
All.reliability-audit.hot invoice-payment 10 AnyVersion appends,1708234765,139233664
All.reliability-audit.appendMultiStream 3 existing streams,377894921,37405224
All.reliability-audit.subscription category catch-up 100 events,2775395312,254604290
